created_at,full_text,sentiment,compound
Tue Jun 10 01:31:39 +0000 2025,"This administration will not be intimidated by lawlessness.   We will stand by the FBI agents tracking down violent criminals, by the guardsmen, local police, and Marines restoring order, and by the ICE agents enforcing our immigration laws.  President Trump will not back down.",negative,-0.6116
Mon Jun 09 19:05:00 +0000 2025,Do your job. That’s all we’re asking.,neutral,0.0
Mon Jun 09 17:04:18 +0000 2025,People who were already violating the law are only violating the law because President Trump started enforcing the law.   This is the logic of Newsom and his stooges.,negative,-0.7906
Mon Jun 09 01:52:17 +0000 2025,This moment calls for decisive leadership. The president will not tolerate rioting and violence.,negative,-0.4939
Mon Jun 09 01:31:16 +0000 2025,"Okay, now do this one, @GavinNewsom.",positive,0.2263
Sun Jun 08 16:44:19 +0000 2025,"Always a great time sitting down with @TheoVon in Nashville, watch the full episode below!  Huge thanks to @KidRock for hosting us.",positive,0.8622
Sun Jun 08 12:48:05 +0000 2025,"An ABC journalist @TerryMoran posted this absolutely vile smear of Stephen Miller. It’s dripping with hatred. Remember that every time you watch ABC’s coverage of the Trump administration.    As it happens, I know Stephen quite well. And he’s motivated by love of country. He’s…",negative,-0.4173
Sun Jun 08 12:13:31 +0000 2025,Was great to see you!,positive,0.6588
Sun Jun 08 01:23:23 +0000 2025,"Insurrectionists carrying foreign flags are attacking immigration enforcement officers, while one half of America's political leadership has decided that border enforcement is evil.   Time to pass President Trump's beautiful bill and further secure the border.",negative,-0.2732
Fri Jun 06 16:21:14 +0000 2025,".@POTUS in Normandy on the 75th anniversary of D-Day, 2019:   ""These men ran through the fires of hell moved by a force no weapon could destroy: the fierce patriotism of a free, proud, and sovereign people. They battled not for control and domination, but for liberty, democracy,…",positive,0.2144
Fri Jun 06 02:28:41 +0000 2025,President Trump has done more than any person in my lifetime to earn the trust of the movement he leads. I'm proud to stand beside him.,positive,0.7506
Fri Jun 06 00:04:30 +0000 2025,"Slow news day, what are we even going to talk about? @TheoVon",neutral,0.0
Thu Jun 05 03:00:12 +0000 2025,"“Immigration, particularly at levels large enough to make a demographic difference, is not a solution to demographic decline but instead its accelerant.”  An important analysis of the data by the political scientist @darelmass",positive,0.1825
Wed Jun 04 02:27:17 +0000 2025,"This is brilliantly put by Vice President Vance on the lack of ideological diversity at Harvard 🔥🔥  ""If 80% of people voted for one candidate, you would say 'Oh that's kind of weird. That's not a super healthy democracy.' If you said 'Oh 95% voted for one party's candidate'…",negative,-0.5715
Tue Jun 03 16:34:08 +0000 2025,We have the lamest opposition in American history.,negative,-0.3612
Mon Jun 02 01:54:38 +0000 2025,"A terror attack was committed in Boulder, Colorado by an illegal alien. He was granted a tourist visa by the Biden Administration and then he illegally overstayed that visa. In response, the Biden Administration gave him a work permit.  Suicidal migration must be fully reversed.",negative,-0.91
Sat May 31 12:37:37 +0000 2025,Aside from the fact that I explicitly acknowledged the role of German scientists in the clip: does Easterbrook really want to describe Werner Von Braun as a “refugee”?   What was he a refugee from?,positive,0.2389
Fri May 30 02:57:20 +0000 2025,".@VP: ""We believe — and we're right — that we are in an emergency. You have seen foreign governments... threaten the American people with the loss of critical supplies... that is, by definition, a National Emergency. And in that National Emergency, @POTUS has very broad…",negative,-0.9186
Wed May 28 17:46:30 +0000 2025,"After four years of mistreatment and outright hostility from Democrat regulators, there's a new sheriff in town.  With President Trump, crypto finally has a champion and an ally in the White House.",positive,0.1027
Wed May 28 12:46:54 +0000 2025,"TODAY, FOR THE FIRST TIME IN HISTORY, A SITTING VICE PRESIDENT OF THE UNITED STATES WILL GIVE A KEYNOTE AT THE #BITCOIN CONFERENCE 🇺🇸🚀",positive,0.5473
Tue May 27 23:02:09 +0000 2025,"VP @JDVance absolutely is right that rampant race discrimination is a major problem in elite universities. @rshibley, tell your faculty contacts to contact me. Without confirming or denying the existence of any particular charge, believe me—@USEEOC is dead serious about remedying…",negative,-0.7402
Tue May 27 19:32:54 +0000 2025,Scorecard under @realDonaldTrump:  ✅ Stock market up 10% ✅ Egg prices down 55% ✅ Inflation at 5 year low ✅ Gas prices down 20% ✅ $6 trillion+ in new US investment ✅ Consumer confidence highest in 4 yrs  That’s all in 4 months. Now Republicans in the Senate have to step up!,positive,0.3595
Sat May 24 20:08:12 +0000 2025,"There is an extraordinary ""reproducibility crisis"" in the sciences, particularly in biology, where most published papers fail to replicate.   Most universities have massive bureaucracies that inhibit the translation of basic research into commercial adoption.   The voting…",negative,-0.8876
Fri May 23 18:05:41 +0000 2025,It was my honor. Proud of these guys and what they’ll do for our country!,positive,0.7644
Thu May 22 12:41:18 +0000 2025,"My heart breaks for Sarah Milgrim and Yaron Lischinsky, who were murdered last night at the Capital Jewish Museum. Antisemitic violence has no place in the United States.   We're praying for their families and all of our friends at the Israeli Embassy, where the two victims…",negative,-0.5106
Wed May 21 23:59:29 +0000 2025,"WATCH @VP @JDVance on his hope that Pope Leo XIV provides leadership on AI:  “This is one of the most profound and positive things that Pope Leo could do — not just for the church, but for the world…this is the sort of thing the Church is very good at.”",positive,0.8258
Wed May 21 12:10:02 +0000 2025,"Vice President @JDVance on how FAR-LEFT judges and NGOs are still aiding and abetting the Biden Border invasion:  ""I think you are seeing an effort by the courts to quite literally overturn the will of the American people."" 🎯",neutral,0.0
Tue May 20 20:28:46 +0000 2025,"President Trump's One Big, Beautiful Bill is a major win for families:  ✅ Increases Child Tax Credit to $2500 ✅ Enhances Adoption Tax Credit  ✅ $5000 School Choice Tax Credit ✅ $1000 Federal savings account for new babies ✅ Defunds Big Abortion",positive,0.9382
Mon May 19 14:28:19 +0000 2025,"I was humbled and  honored to meet Pope Leo XIV and lead the presidential delegation to Rome for his inaugural mass. We had a great conversation, and I know he is a true servant of God.   I hope all Americans will join me in praying for the new pope as he begins his ministry.",positive,0.9607
Sat May 17 13:23:34 +0000 2025,"PRESIDENT TRUMP’S A.I. MASTERSTROKE IN THE MIDDLE EAST  On top of being a historic diplomatic and economic success, President Trump’s trip to the Middle East was also a game-changer in the global AI race.   With the administration’s signing of the first “AI Acceleration…",positive,0.6705
Fri May 16 12:02:52 +0000 2025,"The Trump Administration has zero tolerance for anyone who threatens to defund, abolish, or otherwise diminish our law enforcement heroes.  We are going to fight against criminals and empower our police officers to do their jobs every single day. #BacktheBlue",negative,-0.5267
Thu May 15 20:26:37 +0000 2025,"The Trump Administration has zero tolerance for anyone who threatens to defund, abolish, or otherwise diminish our law enforcement heroes.  We are going to fight against criminals and empower our police officers to do their jobs every single day. #BacktheBlue",negative,-0.5267
Wed May 14 22:37:00 +0000 2025,"During National Police Week, we honor the many brave men and women who make our communities and our country a safer place.  Our administration thanks you, and we will always stand behind you.",positive,0.9062
Wed May 14 12:13:05 +0000 2025,"President Trump's speech in Saudi Arabia was the best articulation of a smart, realistic foreign policy I've ever heard from an American leader:",positive,0.7845
Tue May 13 12:58:13 +0000 2025,"Important point by Gavin.  Our goal is to make more of our own stuff, but also to enable great American products to be exported all over the world. This is a big part of why President Trump seeks to reduce non-tariff barriers other countries put on American goods.",positive,0.7935
Tue May 13 11:53:40 +0000 2025,I just spoke to Steve and Edan a couple of hours ago. Edan is free after almost 600 days of captivity thanks to President Trump’s leadership and Steve Witkoff’s hard work.,positive,0.7003
Mon May 12 20:57:18 +0000 2025,Crazy,negative,-0.34
Mon May 12 00:25:17 +0000 2025,Boss is on fire today,negative,-0.34
Sun May 11 23:18:36 +0000 2025,Happy Mother’s Day to all the moms out there. We love you and are grateful for you!,positive,0.9041
Sun May 11 21:06:51 +0000 2025,"Pray that Hamas follows through and Edan gets to come home.   If they do, it will have been another triumph of Steve Witkoff, who continues to face withering attacks for freeing hostages, negotiating complex diplomatic proposals, and serving his country (at great financial cost)",positive,0.8658
Sun May 11 14:19:17 +0000 2025,"As the honorable Ro Khanna himself has said, being a member of Congress doesn't give you the right to ""obstruct the rule of law.""",positive,0.5423
Sat May 10 13:00:35 +0000 2025,"Great work from the President’s team, especially Secretary Rubio.   And my gratitude to the leaders of India and Pakistan for their hard work and willingness to engage in this ceasefire.",positive,0.8885
Fri May 09 11:47:20 +0000 2025,Congratulations ⁦@JudgeJeanine⁩ who will soon make DC Great Again!,positive,0.8516
Thu May 08 18:45:06 +0000 2025,"Congratulations to Leo XIV, the first American Pope, on his election! I’m sure millions of American Catholics and other Christians will pray for his successful work leading the Church. May God bless him!",positive,0.95
Thu May 08 17:10:04 +0000 2025,Congrats to the president and the entire trade team on the deal with the UK. A great win for American farmers and manufacturers!,positive,0.9117
Wed May 07 23:05:51 +0000 2025,The issue is that it’s anti-any-sane-conception-of-civilization,neutral,0.0
Wed May 07 12:56:38 +0000 2025,"This is the day we enter the conclave and I’m about to go into the Domus Sanctae Marthae, named after St. Martha, who took care of hospitality for Jesus. We leave here and go over to the Sistine Chapel every day for prayers and voting, but this is where we reside. I won’t be able…",positive,0.25
Wed May 07 11:33:09 +0000 2025,1/ The REINS Act is a potential game-changer for restoring constitutional balance  It would prevent major regulations (those imposing compliance costs of at least $100M) from taking effect without being passed by Congress—not just rubber stamped by unelected bureaucrats!,positive,0.2942
Tue May 06 16:47:27 +0000 2025,Hey Cincinnati! My brother Cory Bowman is running for mayor and is on the ballot today for the primary. He’s a good guy with a heart for serving his community. Get out there and vote for him!,positive,0.5399
Mon May 05 17:21:07 +0000 2025,This isn’t just sick; it’s actually genocidal language.    What a disgrace this person is.,negative,-0.7579
Sat May 03 19:01:56 +0000 2025,"As a general rule, I'm fine with people telling jokes and not fine with people starting stupid wars that kill thousands of my countrymen.",negative,-0.8442
Fri May 02 21:37:28 +0000 2025,"The postwar consensus has failed.  It led us to disaster—opening our borders, selling off our jobs, and sending our kids overseas to fight other people's wars.  Something has to change—and President Trump is the first politician in a generation to even care enough to try.",negative,-0.743
Fri May 02 20:32:56 +0000 2025,"The AfD is the most popular party in Germany, and by far the most representative of East Germany. Now the bureaucrats try to destroy it.   The West tore down the Berlin Wall together. And it has been rebuilt—not by the Soviets or the Russians, but by the German establishment.",positive,0.1988
Fri May 02 18:20:49 +0000 2025,Germany just gave its spy agency new powers to surveil the opposition.  That’s not democracy—it’s tyranny in disguise.    What is truly extremist is not the popular AfD—which took second in the recent election—but rather the establishment’s deadly open border immigration policies…,negative,-0.1109
Fri May 02 12:53:22 +0000 2025,Just a simple Maryland father (trafficking humans) who received no due process (two immigration court hearings concluding in a valid deportation order).   Why do congressional Democrats care more about this man than the victims of illegal immigrant crime?,negative,-0.8126
Thu May 01 23:20:33 +0000 2025,I think he could take on a bit more.   If only there was a job opening for a devout Catholic…,neutral,0.0
Thu May 01 21:13:05 +0000 2025,"President Trump and I are proud of our American steel manufacturers.  Your jobs make our country great, and we will never allow them to be shipped off to foreign countries that hate America.",positive,0.428
Thu May 01 20:22:48 +0000 2025,.@VP @JDVance delivers remarks at Nucor Steel 🇺🇸,neutral,0.0
